proof	cbmc_time_s	wall_s	status
proof_v16_residual_reconciles_with_senior_stock	211.90121	217	PASS
proof_v16_residual_reward_credit_is_capped_by_principal_and_crystallized_loss	10.332792	13	PASS
proof_v16_resolved_external_payout_requires_exact_capital_plus_claim_sources	3.0444136	6	PASS
proof_v16_resolved_receipt_claimable_is_rate_monotone_and_overpaid_fails_closed	10.204531	14	PASS
proof_v16_resolved_receipt_payment_cannot_exceed_terminal_claim	3.6122224	6	PASS
proof_v16_resolved_residual_booking_without_loss_bearing_side_is_explicit_only	53.851086	59	PASS
proof_v16_resolved_winddown_releases_expired_liened_source_claim	0.17523967	4	PASS
proof_v16_resolved_winddown_releases_impaired_insurance_lien	0.6849513	3	PASS
proof_v16_resolved_winddown_releases_liened_source_claim	0.16390972	4	PASS
proof_v16_restart_empty_asset_core_preserves_budgets_and_assigns_fresh_market	10.446761	13	PASS
proof_v16_retire_empty_asset_is_value_neutral_and_epoch_scoped	331.05304	336	PASS
proof_v16_retire_nonempty_asset_rejects	173.83511	179	PASS
proof_v16_retired_slot_reactivation_accepts_only_empty_source_credit_amounts	36.025116	40	PASS
proof_v16_reused_asset_slot_rejects_stale_market_id_leg	216.04709	222	PASS
proof_v16_seq_budget_credit_then_withdraw_caps_compose	291.84888	296	PASS
proof_v16_seq_deposit_withdraw_round_trip_is_exact	458.5678	464	PASS
proof_v16_seq_double_crank_is_monotone_and_value_flat	268.11075	279	PASS
proof_v16_seq_two_fees_compound_exactly	114.18043	119	PASS
proof_v16_signed_trade_request_maps_to_opposite_account_deltas	0.29928473	3	PASS
proof_v16_source_credit_lien_face_and_backing_use_scaled_units	177.65698	181	PASS
proof_v16_source_credit_rate_never_exceeds_available_backing_ratio	59.083313	63	PASS
proof_v16_source_domain_insert_reuses_same_domain_market_id_tag	28.96916	33	PASS
proof_v16_sparse_source_domain_cap_full_rejects_new_domain	23.771645	28	PASS
proof_v16_sparse_source_domain_insert_roundtrips_occupied_domain	37.798035	42	PASS
proof_v16_sparse_source_domain_validation_accepts_domain_indexed_claim	88.07127	93	PASS
proof_v16_sparse_source_domain_validation_rejects_duplicate_occupied_domain	317.77448	322	PASS
proof_v16_sparse_source_domain_validation_rejects_unoccupied_tagged_slot	20.121727	24	PASS
proof_v16_support_to_account_capital_requires_exact_mixed_source_sum	3.0379634	6	PASS
proof_v16_symbolic_conservative_fee_profile_satisfies_mm_envelope_on_small_notionals	13.554517	17	PASS
proof_v16_symbolic_funding_profile_satisfies_mm_envelope_on_small_notionals	15.736225	19	PASS
proof_v16_target_effective_lag_adverse_delta_is_side_specific	0.13094757	3	PASS
proof_v16_target_effective_lag_penalty_enters_all_health_lanes	0.7069722	3	PASS
proof_v16_trade_fee_helper_does_not_charge_negative_pnl_account	54.467617	59	PASS
proof_v16_trade_fee_helper_moves_capital_to_insurance_only	53.591934	58	PASS
proof_v16_trade_preflight_risk_gate_blocks_only_unsafe_risk_increase	0.8031052	4	PASS
proof_v16_two_resolved_receipts_are_order_independent_when_snapshot_funded	150.92911	154	PASS
proof_v16_underbacked_source_credit_cannot_satisfy_im_lien_requirements	60.49922	63	PASS
proof_v16_unliened_source_support_is_capped_by_realizable_backing	216.37695	221	PASS
proof_v16_validate_shape_rejects_global_junior_bound_below_domain_claims	34.785095	40	PASS
proof_v16_view_deposit_preserves_c_tot_vault_capital_sum	335.5055	341	PASS
proof_v16_view_domain_budget_caps_bankruptcy_insurance_spend	162.2749	168	PASS
proof_v16_view_fee_sync_settles_negative_pnl_before_fee	287.38394	295	PASS
proof_v16_view_initial_margin_source_lien_creation_is_backed	0.946601	4	PASS
proof_v16_view_negative_funding_pays_long_side	74.02313	79	PASS
proof_v16_view_overwithdraw_rejects	316.13733	322	PASS
proof_v16_view_positive_funding_charges_long_side	111.28412	116	PASS
proof_v16_view_trade_position_delta_preserves_oi_symmetry	1.0147692	4	PASS
proof_v16_view_withdraw_reduces_vault_ctot_and_capital_equally	368.21954	375	PASS
proof_v16_withdraw_allowed_after_canceled_close	338.5294	344	PASS
proof_v16_withdraw_rejects_while_close_active	66.07047	72	PASS
proof_v16_withdraw_settles_flat_negative_pnl_before_value_exit	429.43726	436	PASS
proof_v16_wrapper_shape_distinct_asset_batch_projection_preserves_oi_and_outcome	2.4552443	6	PASS
proof_v16_live_market_shape_rejects_long_short_oi_mismatch	80.947266	86	PASS
proof_v16_live_positive_kf_delta_without_source_rejects	68.89366	76	PASS
proof_v16_live_residual_booking_to_loss_bearing_side_is_bounded_and_exact	30.68569	35	PASS
proof_v16_locked_trade_margin_gate_cannot_use_positive_pnl_credit	9.042592	12	PASS
proof_v16_loss_senior_fee_ordering_consumes_kf_loss_before_fee	56.351875	64	PASS
proof_v16_loss_stale_trade_scope_allows_only_unrelated_current_assets	0.024952296	3	PASS
proof_v16_mark_asset_drain_only_is_value_neutral_and_epoch_scoped	202.01163	207	PASS
proof_v16_mutable_view_compacts_persisted_source_domain_tail	51.605354	56	PASS
proof_v16_negative_pnl_settlement_consumes_principal_before_residual	43.57177	48	PASS
proof_v16_new_unfunded_domain_cannot_consume_shared_insurance	73.90975	80	PASS
proof_v16_nonflat_withdraw_rejects_before_value_exit	341.97202	348	PASS
proof_v16_nontrivial_public_profile_satisfies_symbolic_mm_envelope	17.191433	20	PASS
proof_v16_open_source_claim_exposure_blocks_convert	179.4446	184	PASS
proof_v16_pending_domain_loss_barrier_allows_only_same_side_reductions	0.44086838	3	PASS
proof_v16_pending_domain_loss_barrier_detects_touching_position_changes	23.97331	29	PASS
proof_v16_permissionless_recovery_crank_is_accounting_neutral	142.19695	153	PASS
proof_v16_position_delta_risk_classifier_matches_abs_exposure_change	0.49475706	3	PASS
proof_v16_positive_kf_delta_creates_source_claim_bound	218.85243	226	PASS
proof_v16_positive_pnl_requires_full_source_claim_attribution	1.2015684	3	PASS
proof_v16_price_move_cap_rejects_before_accrual_mutation	63.9878	68	PASS
proof_v16_public_account_backing_fee_split_preserves_senior_stock	451.32886	458	PASS
proof_v16_public_backing_fee_charges_only_selected_domain	381.54022	388	PASS
proof_v16_public_backing_provider_earnings_credit_uses_only_vault_slack	166.03487	171	PASS
proof_v16_public_backing_provider_earnings_withdraw_debits_only_earned_vault	332.64432	338	PASS
proof_v16_public_backing_provider_earnings_withdraw_is_earnings_scoped_and_pool_neutral	309.06915	314	PASS
proof_v16_public_counterparty_backing_deposit_moves_vault_and_scaled_source_state	421.0419	426	PASS
proof_v16_public_counterparty_backing_deposit_refills_expired_receivable_bucket	434.09344	439	PASS
proof_v16_public_counterparty_backing_expiry_is_value_neutral_and_impairs_liened_backing	559.69965	565	PASS
proof_v16_public_counterparty_backing_withdraw_debits_vault_and_scaled_source_state	344.34473	349	PASS
proof_v16_public_counterparty_backing_withdraw_rejects_underbacking_source_claims	391.30588	397	PASS
proof_v16_public_counterparty_lien_consume_creates_receivable_without_value_movement	420.09708	425	PASS
proof_v16_public_counterparty_lien_create_moves_fresh_to_valid_without_value_movement	209.46922	215	PASS
proof_v16_public_counterparty_lien_impair_moves_valid_to_impaired_without_value_movement	259.81656	264	PASS
proof_v16_public_counterparty_lien_release_restores_unliened_backing_without_value_movement	427.2618	432	PASS
proof_v16_public_credit_domain_insurance_budget_is_value_neutral_and_backed	153.68958	159	PASS
proof_v16_public_domain_insurance_spent_setter_preserves_budget_total_and_value	175.72606	180	PASS
proof_v16_public_domain_insurance_spent_setter_rejects_invalid_without_mutation	150.62672	156	PASS
proof_v16_public_domain_insurance_withdraw_capacity_matches_budget_reserved_and_vault_min	18.63532	23	PASS
proof_v16_public_domain_insurance_withdraw_is_budget_scoped_and_value_conserving	194.18835	199	PASS
proof_v16_public_finalize_side_reset_rejects_each_blocker_without_mutation	21.163074	25	PASS
proof_v16_public_finalize_side_reset_success_is_value_neutral	26.747171	31	PASS
proof_v16_public_insurance_lien_consume_debits_only_domain_insurance	391.70663	397	PASS
proof_v16_public_insurance_lien_create_moves_reserved_credit_to_valid_lien	276.25394	281	PASS
proof_v16_public_insurance_lien_impair_moves_valid_to_impaired_without_value_movement	427.39114	433	PASS
proof_v16_public_insurance_lien_release_restores_reserved_credit_without_value_movement	504.4128	509	PASS
proof_v16_public_insurance_reserve_encumbers_budget_without_value_movement	407.9339	413	PASS
proof_v16_public_insurance_reserve_rejects_unfunded_domain	203.76727	209	PASS
proof_v16_public_market_activation_starts_domains_unfunded_and_value_neutral	83.89933	89	PASS
proof_v16_public_market_capacity_growth_is_monotone_and_value_neutral	6.6595907	10	PASS
proof_v16_public_market_capacity_growth_rejects_invalid_requests_without_mutation	6.1941667	10	PASS
